file,duration,sample_rate,rms,peak,clipping_ratio,speech_ratio,silence_ratio,snr_estimate_db,decay_slope_db_per_s,spectral_centroid_hz,rolloff85_hz,tier
asr_final_20260810_111904_999.wav,2.96,16000,0.067052,0.721,0.0,0.7993,0.2007,34.48,-39.6,437.1,594.6,likely_quiet
asr_final_20260810_111908_116.wav,2.816,16000,0.17345,1.0,0.000222,0.3786,0.6214,62.93,-292.1,794.0,1206.0,likely_quiet
asr_final_20260810_111944_259.wav,2.96,16000,0.111297,0.9999,2.1e-05,0.2211,0.7789,62.18,173.2,682.8,802.7,likely_quiet
asr_final_20260810_112029_797.wav,2.96,16000,0.075346,0.9989,0.0,0.4116,0.5884,49.31,-27.8,481.0,482.8,likely_quiet
asr_final_20260810_112313_080.wav,5.52,16000,0.056202,0.632,0.0,0.5636,0.4364,49.16,64.7,606.4,711.4,likely_quiet
asr_final_20260810_112752_198.wav,5.52,16000,0.213975,0.9999,6.8e-05,0.6327,0.3673,16.44,82.7,610.2,736.4,likely_farfield_or_muffled
asr_final_20260810_112810_601.wav,2.96,16000,0.131067,0.9991,2.1e-05,0.551,0.449,62.37,19.1,609.1,799.3,likely_quiet
asr_final_20260810_113013_794.wav,2.96,16000,0.098728,0.6358,0.0,0.8197,0.1803,62.97,238.0,730.5,926.7,likely_quiet
asr_final_20260810_114129_799.wav,2.96,16000,0.126585,1.0,0.000169,0.1565,0.8435,58.08,-349.7,631.7,678.0,likely_quiet
asr_final_20260810_114153_621.wav,2.96,16000,0.061385,0.9929,0.0,0.7245,0.2755,37.56,-3.0,794.3,1087.2,likely_quiet
asr_final_20260810_114214_047.wav,2.96,16000,0.065558,0.8102,0.0,0.3333,0.6667,55.13,-318.6,648.9,704.4,likely_quiet
asr_final_20260810_114237_079.wav,2.96,16000,0.080442,0.9999,8.4e-05,0.4694,0.5306,46.87,-69.5,680.1,709.1,likely_quiet
asr_final_20260810_114244_100.wav,3.216,16000,0.126766,1.0,0.000194,0.4281,0.5719,46.01,26.8,604.3,638.7,likely_quiet
asr_final_20260810_114500_502.wav,2.96,16000,0.154559,1.0,0.000211,0.4762,0.5238,45.99,-38.9,533.9,635.5,likely_quiet
asr_final_20260810_115324_592.wav,2.96,16000,0.093856,0.9813,0.0,0.4116,0.5884,40.18,40.8,911.8,1182.4,likely_quiet
asr_final_20260810_115345_318.wav,2.96,16000,0.080073,0.9824,0.0,0.7109,0.2891,21.15,-29.3,1111.3,1490.9,likely_quiet
asr_final_20260810_115940_600.wav,3.216,16000,0.054163,0.6511,0.0,0.4938,0.5062,19.85,-104.8,855.7,1138.4,likely_farfield_or_muffled
asr_final_20260810_120325_079.wav,2.96,16000,0.054778,0.9773,0.0,0.3027,0.6973,39.63,-67.1,690.2,771.3,likely_quiet
asr_final_20260810_120333_255.wav,2.96,16000,0.138455,0.9999,4.2e-05,0.6769,0.3231,31.35,108.7,863.5,1441.6,likely_quiet
asr_final_20260810_120903_543.wav,2.96,16000,0.09389,0.7315,0.0,0.6122,0.3878,12.34,29.3,715.9,812.5,likely_farfield_or_muffled
asr_final_20260810_121017_549.wav,2.96,16000,0.092341,0.861,0.0,0.6633,0.3367,12.26,12.5,745.4,922.0,likely_farfield_or_muffled
asr_final_20260810_121335_944.wav,5.008,16000,0.068355,0.8708,0.0,0.6533,0.3467,20.31,24.3,1258.9,2156.3,likely_quiet
